Player,FPTS,Team,Pos
Cam Newton,389.1,CAR,QB
Tom Brady,344.7,TB,QB
Russell Wilson,336.4,SEA,QB
Carson Palmer,309.2,FA,QB
Drew Brees,306.5,FA,QB
Aaron Rodgers,301.3,GB,QB
Kirk Cousins,293.5,MIN,QB
Matthew Stafford,290.7,LAR,QB
Eli Manning,287.6,FA,QB
Ryan Fitzpatrick,285.1,WAS,QB
Philip Rivers,284.3,FA,QB
Jameis Winston,275.2,NO,QB
Derek Carr,273.3,LV,QB
Tyrod Taylor,271.6,HOU,QB
Alex Smith,271.0,FA,QB
Ryan Tannehill,258.3,TEN,QB
Andy Dalton,244.1,CHI,QB
Matt Ryan,233.9,ATL,QB
Ben Roethlisberger,227.6,PIT,QB
Teddy Bridgewater,200.4,DEN,QB
Andrew Luck,130.8,FA,QB
Trey Lance,0.0,SF,QB
Mac Jones,0.0,NE,QB
Gardner Minshew,0.0,PHI,QB
Kyler Murray,0.0,ARI,QB
Justin Herbert,0.0,LAC,QB
Daniel Jones,0.0,NYG,QB
Trevor Lawrence,0.0,JAC,QB
Justin Fields,0.0,CHI,QB
Joe Burrow,0.0,CIN,QB
Tua Tagovailoa,0.0,MIA,QB
Jordan Love,0.0,GB,QB
Jalen Hurts,0.0,PHI,QB
Zach Wilson,0.0,NYJ,QB
Deshaun Watson,0.0,HOU,QB
Patrick Mahomes,0.0,KC,QB
Josh Allen,0.0,BUF,QB
Baker Mayfield,0.0,CLE,QB
Sam Darnold,0.0,CAR,QB
Lamar Jackson,0.0,BAL,QB
Taysom Hill,0.0,NO,QB
Taylor Heinicke,0.0,WAS,QB
Jared Goff,0.0,DET,QB
Carson Wentz,0.0,IND,QB
Dak Prescott,0.0,DAL,QB
Trevor Siemian,-0.1,NO,QB
Jimmy Garoppolo,-0.3,SF,QB
Devonta Freeman,316.9,BAL,RB
Adrian Peterson,260.7,SEA,RB
Danny Woodhead,244.1,FA,RB
Matt Forte,214.7,FA,RB
David Johnson,209.8,HOU,RB
Mark Ingram,203.4,NO,RB
Latavius Murray,202.8,BAL,RB
Darren McFadden,195.7,FA,RB
Frank Gore,193.4,FA,RB
Giovani Bernard,181.2,TB,RB
LeSean McCoy,178.7,FA,RB
James White,122.6,NE,RB
Dion Lewis,120.2,FA,RB
Ameer Abdullah,117.1,CAR,RB
Le'Veon Bell,111.2,FA,RB
Melvin Gordon,108.3,DEN,RB
Carlos Hyde,81.3,JAC,RB
Brandon Bolden,69.7,NE,RB
Damien Williams,45.1,CHI,RB
Jay Ajayi,42.7,FA,RB
Tevin Coleman,42.6,NYJ,RB
Rex Burkhead,23.8,HOU,RB
Mike Davis,16.6,ATL,RB
Malcolm Brown,2.5,MIA,RB
Jermar Jefferson,0.0,DET,RB
Jaret Patterson,0.0,WAS,RB
Darrell Henderson,0.0,LAR,RB
Ty Johnson,0.0,NYJ,RB
Tony Pollard,0.0,DAL,RB
Alexander Mattison,0.0,MIN,RB
Miles Sanders,0.0,PHI,RB
Mike Boone,0.0,DEN,RB
Jeff Wilson,0.0,SF,RB
Dontrell Hilliard,0.0,TEN,RB
Devin Singletary,0.0,BUF,RB
Josh Jacobs,0.0,LV,RB
David Montgomery,0.0,CHI,RB
Damien Harris,0.0,NE,RB
Ty'Son Williams,0.0,BAL,RB
James Robinson,0.0,JAC,RB
JaMycal Hasty,0.0,SF,RB
Antonio Gibson,0.0,WAS,RB
DeeJay Dallas,0.0,SEA,RB
Chuba Hubbard,0.0,CAR,RB
Zack Moss,0.0,BUF,RB
J.K. Dobbins,0.0,BAL,RB
Travis Etienne,0.0,JAC,RB
Jonathan Taylor,0.0,IND,RB
D'Andre Swift,0.0,DET,RB
Derrick Gore,0.0,KC,RB
D'Ernest Johnson,0.0,CLE,RB
Najee Harris,0.0,PIT,RB
Cam Akers,0.0,LAR,RB
Tony Jones,0.0,NO,RB
Salvon Ahmed,0.0,MIA,RB
Trey Sermon,0.0,SF,RB
Clyde Edwards-Helaire,0.0,KC,RB
Eno Benjamin,0.0,ARI,RB
AJ Dillon,0.0,GB,RB
Rhamondre Stevenson,0.0,NE,RB
Michael Carter,0.0,NYJ,RB
Elijah Mitchell,0.0,SF,RB
Khalil Herbert,0.0,CHI,RB
Javonte Williams,0.0,DEN,RB
Kenneth Gainwell,0.0,PHI,RB
Kene Nwangwu,0.0,MIN,RB
