,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,Aaron Rodgers,QB,GB,64,71,54,bye,80,70,87,62,69,74,64,71,58,48,61,56,75,1064,66.5
1,Adrian Peterson,RB,MIN,38,34,0,0,0,bye,0,0,0,0,0,0,0,0,12,0,0,84,28.0
2,Alex Smith,QB,KC,71,64,63,75,bye,64,52,29,0,64,53,85,49,55,58,75,58,915,61.0
3,Ben Roethlisberger,QB,PIT,68,74,60,55,74,50,0,bye,69,73,69,49,72,75,75,58,0,921,65.8
4,Brian Hoyer,QB,CHI,0,15,65,69,66,80,20,0,bye,0,0,0,0,0,0,0,0,315,52.5
5,Chad Henne,QB,JAC,0,0,0,0,bye,0,0,0,0,0,1,0,0,0,0,0,0,1,1.0
6,Chase Daniel,QB,PHI,0,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6.0
7,Danny Amendola,WR,NE,19,19,13,13,21,26,19,32,bye,26,42,17,19,0,0,0,0,266,22.2
8,Darren Sproles,RB,PHI,39,41,24,bye,34,24,26,61,60,31,10,31,44,30,0,27,29,511,34.1
9,DeSean Jackson,WR,WAS,48,51,51,48,51,50,54,32,bye,0,47,56,45,42,58,30,42,705,47.0
10,Drew Brees,QB,NO,69,62,81,73,bye,73,75,76,86,51,75,74,62,61,86,71,77,1152,72.0
11,Drew Stanton,QB,ARI,0,12,0,13,68,7,0,0,bye,0,0,0,0,0,0,0,6,106,21.2
12,Eli Manning,QB,NYG,56,79,67,66,56,67,57,bye,64,75,67,56,60,67,64,89,72,1062,66.4
13,Frank Gore,RB,IND,49,34,44,34,54,46,57,32,47,bye,44,35,45,33,39,26,32,651,40.7
14,Greg Olsen,TE,CAR,72,76,77,67,54,81,bye,67,62,73,62,65,58,69,62,40,45,1030,64.4
15,Jared Cook,TE,GB,33,46,14,bye,0,0,0,0,0,0,42,33,29,16,40,35,40,328,32.8
16,Jason Witten,TE,DAL,78,68,68,76,57,64,bye,77,69,65,68,56,52,66,74,56,22,1016,63.5
17,Joe Flacco,QB,BAL,68,75,67,89,71,83,58,bye,67,77,55,68,59,70,58,75,71,1111,69.4
18,Josh McCown,QB,CLE,0,62,0,0,0,0,0,69,0,20,37,74,bye,0,0,0,0,262,52.4
19,Julian Edelman,WR,NE,61,63,46,50,59,58,51,60,bye,52,67,66,54,47,44,36,60,874,54.6
20,Larry Fitzgerald,WR,ARI,59,59,80,72,62,67,93,56,bye,69,72,64,70,68,60,56,46,1053,65.8
