Player,FPTS,ROST,Team,Pos
Andrew Luck,35.5,2.2%,FA,QB
Drew Brees,31.4,35.7%,FA,QB
Alex Smith,28.0,5.0%,FA,QB
Matthew Stafford,26.1,96.9%,LAR,QB
Jameis Winston,25.5,5.9%,NO,QB
Matt Ryan,24.4,38.3%,ATL,QB
Aaron Rodgers,23.6,97.3%,GB,QB
Derek Carr,22.4,73.4%,LV,QB
Ben Roethlisberger,21.8,18.4%,PIT,QB
Cam Newton,21.2,31.7%,CAR,QB
Carson Wentz,19.2,61.4%,IND,QB
Carson Palmer,18.9,5.6%,FA,QB
Eli Manning,18.3,2.3%,FA,QB
Andy Dalton,17.3,2.1%,CHI,QB
Ryan Fitzpatrick,15.1,6.2%,WAS,QB
Jimmy Garoppolo,15.1,22.7%,SF,QB
Ryan Tannehill,15.1,64.4%,TEN,QB
Philip Rivers,14.6,20.6%,FA,QB
Russell Wilson,11.9,90.9%,SEA,QB
Dak Prescott,10.3,98.6%,DAL,QB
Kirk Cousins,10.0,82.1%,MIN,QB
Trevor Siemian,9.1,2.5%,NO,QB
Tyrod Taylor,5.5,14.8%,HOU,QB
Trevor Lawrence,0.0,25.6%,JAC,QB
Justin Fields,0.0,17.0%,CHI,QB
Mac Jones,0.0,30.3%,NE,QB
Trey Lance,0.0,9.2%,SF,QB
Daniel Jones,0.0,22.1%,NYG,QB
Joe Burrow,0.0,88.2%,CIN,QB
Tua Tagovailoa,0.0,42.3%,MIA,QB
Jordan Love,0.0,1.4%,GB,QB
Jalen Hurts,0.0,94.4%,PHI,QB
Gardner Minshew,0.0,4.9%,PHI,QB
Kyler Murray,0.0,99.8%,ARI,QB
Justin Herbert,0.0,98.2%,LAC,QB
Josh Allen,0.0,100.0%,BUF,QB
Zach Wilson,0.0,4.9%,NYJ,QB
Tom Brady,0.0,99.0%,TB,QB
Jared Goff,0.0,4.8%,DET,QB
Taysom Hill,0.0,34.9%,NO,QB
Lamar Jackson,0.0,99.7%,BAL,QB
Sam Darnold,0.0,5.8%,CAR,QB
Baker Mayfield,0.0,27.1%,CLE,QB
Deshaun Watson,0.0,4.3%,HOU,QB
Patrick Mahomes,0.0,100.0%,KC,QB
Teddy Bridgewater,0.0,21.0%,DEN,QB
Taylor Heinicke,0.0,33.8%,WAS,QB
Carlos Hyde,23.3,10.1%,JAC,RB
David Johnson,23.2,40.3%,HOU,RB
Ameer Abdullah,23.0,3.4%,CAR,RB
Danny Woodhead,23.0,20.6%,FA,RB
Matt Forte,20.5,19.1%,FA,RB
Melvin Gordon,17.7,87.5%,DEN,RB
LeSean McCoy,17.0,2.0%,FA,RB
Tevin Coleman,16.7,41.5%,NYJ,RB
Latavius Murray,14.2,28.1%,BAL,RB
Ezekiel Elliott,12.2,99.9%,DAL,RB
Frank Gore,11.8,12.1%,FA,RB
Mark Ingram,10.7,74.2%,NO,RB
James White,9.4,8.7%,NE,RB
Devonta Freeman,8.0,72.8%,BAL,RB
Derrick Henry,6.4,84.1%,TEN,RB
Giovani Bernard,5.0,6.9%,TB,RB
Damien Williams,4.8,5.2%,CHI,RB
DeAndre Washington,3.4,11.0%,FA,RB
Adrian Peterson,3.1,13.2%,SEA,RB
Malcolm Brown,2.3,2.8%,MIA,RB
Brandon Bolden,0.4,14.0%,NE,RB
Mike Davis,0.1,48.7%,ATL,RB
Jermar Jefferson,0.0,2.0%,DET,RB
Ty'Son Williams,0.0,5.6%,BAL,RB
James Robinson,0.0,97.8%,JAC,RB
JaMycal Hasty,0.0,1.3%,SF,RB
Antonio Gibson,0.0,98.1%,WAS,RB
Gus Edwards,0.0,10.3%,BAL,RB
Boston Scott,0.0,34.3%,PHI,RB
