,Player,FPTS,Team,Pos
0,Russell Wilson,347.8,SEA,QB
1,Cam Newton,299.5,CAR,QB
2,Tom Brady,295.9,TB,QB
3,Alex Smith,295.1,FA,QB
4,Carson Wentz,283.7,IND,QB
5,Kirk Cousins,277.6,MIN,QB
6,Matthew Stafford,273.8,LAR,QB
7,Philip Rivers,270.5,FA,QB
8,Drew Brees,262.6,FA,QB
9,Dak Prescott,260.8,DAL,QB
10,Ben Roethlisberger,260.6,PIT,QB
11,Jared Goff,255.5,DET,QB
14,Matt Ryan,228.1,ATL,QB
15,Tyrod Taylor,222.6,HOU,QB
16,Andy Dalton,210.7,CHI,QB
18,Derek Carr,206.3,LV,QB
21,Jameis Winston,201.8,NO,QB
22,Eli Manning,187.3,FA,QB
25,Deshaun Watson,168.8,HOU,QB
28,Aaron Rodgers,129.5,GB,QB
29,Trevor Siemian,126.2,NO,QB
31,Carson Palmer,102.4,FA,QB
33,Jimmy Garoppolo,87.9,SF,QB
34,Ryan Fitzpatrick,73.7,WAS,QB
51,Patrick Mahomes,10.4,KC,QB
63,Taylor Heinicke,0.6,WAS,QB
71,Trey Lance,0.0,SF,QB
72,Mac Jones,0.0,NE,QB
77,Tua Tagovailoa,0.0,MIA,QB
78,Daniel Jones,0.0,NYG,QB
81,Joe Burrow,0.0,CIN,QB
85,Gardner Minshew,0.0,PHI,QB
86,Kyler Murray,0.0,ARI,QB
88,Justin Herbert,0.0,LAC,QB
92,Jordan Love,0.0,GB,QB
95,Trevor Lawrence,0.0,JAC,QB
99,Drew Lock,0.0,DEN,QB
101,Jalen Hurts,0.0,PHI,QB
102,Tyler Huntley,0.0,BAL,QB
110,Justin Fields,0.0,CHI,QB
111,Zach Wilson,0.0,NYJ,QB
112,Davis Mills,0.0,HOU,QB
118,Ryan Tannehill,0.0,TEN,QB
123,Josh Johnson,0.0,BAL,QB
134,Josh Allen,0.0,BUF,QB
138,Baker Mayfield,0.0,CLE,QB
139,Sam Darnold,0.0,CAR,QB
142,Lamar Jackson,0.0,BAL,QB
143,Taysom Hill,0.0,NO,QB
155,Teddy Bridgewater,-2.3,DEN,QB
1,Le'Veon Bell,341.6,TB,RB
2,Alvin Kamara,315.4,NO,RB
3,Kareem Hunt,295.2,CLE,RB
4,Melvin Gordon,288.1,DEN,RB
5,Mark Ingram,278.0,NO,RB
6,LeSean McCoy,263.6,FA,RB
