Player,FPTS,Team,Pos
Patrick Mahomes,33.0,KC,QB
Josh Allen,28.7,BUF,QB
Russell Wilson,24.8,SEA,QB
Derek Carr,24.2,LV,QB
Philip Rivers,24.0,FA,QB
Jameis Winston,22.8,NO,QB
Carson Wentz,19.8,IND,QB
Ben Roethlisberger,17.2,PIT,QB
Lamar Jackson,16.5,BAL,QB
Deshaun Watson,16.0,HOU,QB
Cam Newton,15.3,CAR,QB
Aaron Rodgers,15.3,GB,QB
Ryan Tannehill,15.0,TEN,QB
Tom Brady,14.9,TB,QB
Dak Prescott,14.1,DAL,QB
Baker Mayfield,13.9,CLE,QB
Matthew Stafford,10.0,LAR,QB
Andrew Luck,9.5,FA,QB
Eli Manning,8.8,FA,QB
Jared Goff,8.1,DET,QB
Kirk Cousins,8.0,MIN,QB
Matt Ryan,7.6,ATL,QB
Drew Brees,7.3,FA,QB
Colt McCoy,2.0,ARI,QB
Trevor Lawrence,0.0,JAC,QB
Justin Fields,0.0,CHI,QB
Mac Jones,0.0,NE,QB
Trey Lance,0.0,SF,QB
Jordan Love,0.0,GB,QB
Jalen Hurts,0.0,PHI,QB
Mike White,0.0,NYJ,QB
Daniel Jones,0.0,NYG,QB
Joe Burrow,0.0,CIN,QB
Tua Tagovailoa,0.0,MIA,QB
Justin Herbert,0.0,LAC,QB
Kyler Murray,0.0,ARI,QB
Zach Wilson,0.0,NYJ,QB
Tyrod Taylor,0.0,HOU,QB
Ryan Fitzpatrick,0.0,WAS,QB
Jacoby Brissett,0.0,MIA,QB
Trevor Siemian,0.0,NO,QB
P.J. Walker,0.0,CAR,QB
Taysom Hill,0.0,NO,QB
Mason Rudolph,0.0,PIT,QB
Sam Darnold,0.0,CAR,QB
Teddy Bridgewater,0.0,DEN,QB
Geno Smith,0.0,SEA,QB
Jimmy Garoppolo,0.0,SF,QB
Taylor Heinicke,0.0,WAS,QB
Tarik Cohen,34.6,CHI,RB
Christian McCaffrey,31.1,CAR,RB
Phillip Lindsay,28.9,HOU,RB
Ezekiel Elliott,25.6,DAL,RB
James Conner,22.4,ARI,RB
Chase Edmonds,20.6,ARI,RB
Jeff Wilson,19.4,SF,RB
James White,18.8,NE,RB
Dalvin Cook,18.6,MIN,RB
Saquon Barkley,17.6,NYG,RB
Nick Chubb,16.2,CLE,RB
Adrian Peterson,15.8,TEN,RB
Aaron Jones,15.2,GB,RB
Alvin Kamara,15.2,NO,RB
Justin Jackson,15.2,LAC,RB
Nyheim Hines,14.5,IND,RB
Chris Carson,13.8,SEA,RB
Derrick Henry,12.5,TEN,RB
Rashaad Penny,12.5,SEA,RB
Kenyan Drake,12.4,LV,RB
Joe Mixon,11.5,CIN,RB
Giovani Bernard,10.6,TB,RB
LeSean McCoy,10.4,FA,RB
Austin Ekeler,9.3,LAC,RB
Jordan Howard,9.0,PHI,RB
Gus Edwards,8.2,BAL,RB
David Johnson,8.2,HOU,RB
Sony Michel,8.0,LAR,RB
Jamaal Williams,6.7,DET,RB
Damien Williams,6.5,CHI,RB
Devontae Booker,6.2,NYG,RB
Dion Lewis,5.4,FA,RB
Kyle Juszczyk,5.0,SF,RB
Mark Ingram,4.8,NO,RB
Marlon Mack,4.3,IND,RB
Frank Gore,4.1,FA,RB
Latavius Murray,3.4,BAL,RB
Carlos Hyde,2.7,JAC,RB
Wayne Gallman,2.4,ATL,RB
Tevin Coleman,2.1,NYJ,RB
Mark Walton,1.0,FA,RB
Brandon Bolden,1.0,NE,RB
Mike Davis,1.0,ATL,RB
Malcolm Brown,0.8,MIA,RB
Ronald Jones,0.2,TB,RB
Chuba Hubbard,0.0,CAR,RB
James Robinson,0.0,JAC,RB
Ty'Son Williams,0.0,BAL,RB
Antonio Gibson,0.0,WAS,RB
J.J. Taylor,0.0,NE,RB
Salvon Ahmed,0.0,MIA,RB
Trey Sermon,0.0,SF,RB
Tony Jones,0.0,NO,RB
Myles Gaskin,0.0,MIA,RB
Demetric Felton,0.0,CLE,RB
David Montgomery,0.0,CHI,RB
Damien Harris,0.0,NE,RB
Josh Jacobs,0.0,LV,RB
Ty Johnson,0.0,NYJ,RB
Devin Singletary,0.0,BUF,RB
Miles Sanders,0.0,PHI,RB
Boston Scott,0.0,PHI,RB
Derrick Gore,0.0,KC,RB
D'Ernest Johnson,0.0,CLE,RB
Clyde Edwards-Helaire,0.0,KC,RB
Eno Benjamin,0.0,ARI,RB
AJ Dillon,0.0,GB,RB
D'Andre Swift,0.0,DET,RB
Najee Harris,0.0,PIT,RB
Cam Akers,0.0,LAR,RB
Zack Moss,0.0,BUF,RB
J.K. Dobbins,0.0,BAL,RB
Travis Etienne,0.0,JAC,RB
Jonathan Taylor,0.0,IND,RB
Alexander Mattison,0.0,MIN,RB
Darrell Henderson,0.0,LAR,RB
Darrel Williams,0.0,KC,RB
Tony Pollard,0.0,DAL,RB
Elijah Mitchell,0.0,SF,RB
Khalil Herbert,0.0,CHI,RB
Javonte Williams,0.0,DEN,RB
Michael Carter,0.0,NYJ,RB
Rhamondre Stevenson,0.0,NE,RB
Kenneth Gainwell,0.0,PHI,RB
Cordarrelle Patterson,0.0,ATL,RB
Alex Collins,0.0,SEA,RB
Raheem Mostert,0.0,SF,RB
J.D. McKissic,0.0,WAS,RB
Jeremy McNichols,0.0,TEN,RB
Kareem Hunt,0.0,CLE,RB
Samaje Perine,0.0,CIN,RB
D'Onta Foreman,0.0,TEN,RB
Leonard Fournette,0.0,TB,RB
Devonta Freeman,0.0,BAL,RB
Jerick McKinnon,0.0,KC,RB
Melvin Gordon,0.0,DEN,RB
DeAndre Washington,-1.3,FA,RB
Keenan Allen,36.8,LAC,WR
Antonio Brown,31.4,TB,WR
Davante Adams,23.3,GB,WR
Chris Godwin,21.1,TB,WR
Robert Woods,18.8,LAR,WR
Courtland Sutton,18.5,DEN,WR
Odell Beckham,18.5,LAR,WR
Jarvis Landry,16.3,CLE,WR
DeAndre Hopkins,16.1,ARI,WR
Tyler Boyd,15.7,CIN,WR
T.Y. Hilton,15.7,IND,WR
Curtis Samuel,15.6,WAS,WR
Josh Gordon,14.8,KC,WR
Corey Davis,14.4,NYJ,WR
