,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
0,Aaron Rodgers,QB,GB,42,62,63,72,64,59,56,73,0,74,58,82,bye,63,62,59,63,31,983,61.4
1,Adrian Peterson,RB,Multi,0,0,0,0,0,0,0,0,19,20,15,0,18,0,0,0,0,0,72,18.0
2,Ben Roethlisberger,QB,PIT,58,56,83,60,65,75,bye,74,72,0,69,62,60,74,49,62,81,76,1076,67.3
3,Brian Hoyer,QB,NE,0,0,0,0,0,0,12,0,6,9,0,1,0,bye,0,0,13,0,41,8.2
4,Chad Henne,QB,KC,0,0,0,0,0,0,18,0,0,3,0,bye,0,4,0,6,0,0,31,7.8
5,Chase Daniel,QB,LAC,0,0,0,0,0,0,bye,0,0,0,0,0,0,5,0,0,0,0,5,5.0
6,Danny Amendola,WR,HOU,17,12,0,0,0,0,24,39,34,bye,13,22,0,0,0,0,0,30,191,23.9
7,DeSean Jackson,WR,Multi,14,0,21,22,20,16,4,0,0,9,16,42,24,32,20,36,16,0,292,20.9
8,Jared Cook,TE,LAC,47,42,46,39,50,36,bye,33,29,34,38,37,35,31,43,39,0,65,644,40.3
9,Joe Flacco,QB,NYJ,0,0,0,0,0,bye,0,0,0,6,60,0,0,0,0,0,0,0,66,33.0
10,Josh Johnson,QB,Multi,0,0,0,0,0,0,0,5,63,0,0,1,0,0,0,59,0,0,128,32.0
11,Marcedes Lewis,TE,GB,15,0,0,35,29,40,21,31,29,42,0,33,bye,36,31,25,0,20,387,29.8
12,Matt Ryan,QB,ATL,70,66,62,76,78,bye,63,53,59,38,50,60,71,69,59,46,53,50,1023,60.2
13,Matthew Slater,WR,NE,0,0,0,1,0,0,0,1,3,2,2,0,2,bye,0,0,1,0,12,1.2
14,Matthew Stafford,QB,LAR,52,59,65,68,67,56,65,58,78,55,bye,62,63,58,66,70,58,65,1065,62.6
15,Ryan Fitzpatrick,QB,WAS,16,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,0,16,16.0
16,Tom Brady,QB,TB,65,60,73,78,62,75,65,61,bye,48,69,67,70,83,74,64,74,51,1139,67.0
17,Andre Roberts,WR,Multi,0,22,0,2,0,2,0,0,2,0,1,0,0,0,1,0,0,3,33,2.1
18,Colt McCoy,QB,ARI,0,0,0,2,0,7,5,0,68,33,83,bye,0,0,11,0,0,0,209,29.9
19,Emmanuel Sanders,WR,BUF,79,50,63,51,45,71,bye,56,66,35,44,51,46,25,0,65,0,0,747,53.4
20,Jimmy Graham,TE,CHI,14,0,7,0,0,0,0,0,18,bye,12,14,21,12,19,21,17,20,175,15.9
21,Rob Gronkowski,TE,TB,57,51,45,0,0,0,0,6,bye,0,46,55,58,73,63,60,70,50,634,52.8
22,Antonio Brown,WR,TB,42,28,0,40,42,37,0,0,bye,0,0,0,0,0,0,53,26,0,268,38.3
23,A.J. Green,WR,ARI,55,51,53,67,49,68,60,56,0,38,57,bye,36,56,56,56,62,68,888,55.5
24,Blaine Gabbert,QB,TB,0,3,0,0,12,0,8,0,bye,0,9,0,0,0,0,3,0,9,44,7.3
