,Player,ROST%,Team,Pos
0,DK Metcalf,100%,Sea,WR
1,Austin Ekeler,100%,LAC,RB
2,Jonathan Taylor,100%,Ind,RB
3,DeAndre Hopkins,100%,Ari,WR
4,Justin Jefferson,100%,Min,WR
5,Travis Kelce,100%,KC,TE
6,Keenan Allen,100%,LAC,WR
7,CeeDee Lamb,100%,Dal,WR
8,Davante Adams,100%,GB,WR
9,Kyler Murray,100%,Ari,QB
10,Nick Chubb,100%,Cle,RB
11,Lamar Jackson,100%,Bal,QB
12,Calvin Ridley,100%,Atl,WR
13,Russell Wilson,100%,Sea,QB
14,Saquon Barkley,100%,NYG,RB
15,Najee Harris,100%,Pit,RB
16,Josh Allen,100%,Buf,QB
17,Stefon Diggs,100%,Buf,WR
18,Joe Mixon,100%,Cin,RB
19,Tyreek Hill,100%,KC,WR
20,Derrick Henry,100%,Ten,RB
21,Ezekiel Elliott,100%,Dal,RB
22,Christian McCaffrey,100%,Car,RB
23,Patrick Mahomes,100%,KC,QB
24,Dalvin Cook,100%,Min,RB
0,Antonio Gibson,100%,Was,RB
1,Alvin Kamara,100%,NO,RB
2,Aaron Jones,100%,GB,RB
3,George Kittle,100%,SF,TE
4,Darren Waller,100%,LV,TE
5,Amari Cooper,99%,Dal,WR
6,Chris Godwin,99%,TB,WR
7,Clyde Edwards-Helaire,99%,KC,RB
8,Tyler Lockett,99%,Sea,WR
9,Terry McLaurin,99%,Was,WR
10,Tom Brady,99%,TB,QB
11,Mark Andrews,99%,Bal,TE
12,David Montgomery,99%,Chi,RB
13,Mike Evans,99%,TB,WR
14,Cooper Kupp,99%,LAR,WR
15,Chris Carson,99%,Sea,RB
16,T.J. Hockenson,99%,Det,TE
17,A.J. Brown,99%,Ten,WR
18,Dak Prescott,99%,Dal,QB
19,D'Andre Swift,98%,Det,RB
20,Allen Robinson,98%,Chi,WR
21,Adam Thielen,98%,Min,WR
22,DJ Moore,98%,Car,WR
23,Justin Herbert,98%,LAC,QB
24,Kyle Pitts,98%,Atl,TE
0,Aaron Rodgers,98%,GB,QB
1,Miles Sanders,97%,Phi,RB
2,Julio Jones,97%,Ten,WR
3,James Robinson,97%,Jax,RB
4,Robert Woods,97%,LAR,WR
5,Matthew Stafford,97%,LAR,QB
6,Darrell Henderson,96%,LAR,RB
7,Logan Thomas,96%,Was,TE
8,Josh Jacobs,96%,LV,RB
9,Kareem Hunt,96%,Cle,RB
10,Odell Beckham,95%,LAR,WR
11,Diontae Johnson,95%,Pit,WR
12,Tyler Higbee,95%,LAR,TE
13,Deebo Samuel,95%,SF,WR
14,Ja'Marr Chase,95%,Cin,WR
15,Jalen Hurts,95%,Phi,QB
16,Mike Williams,95%,LAC,WR
17,Noah Fant,94%,Den,TE
18,Chase Edmonds,94%,Ari,RB
19,Rob Gronkowski,94%,TB,TE
20,Damien Harris,94%,NE,RB
21,Brandin Cooks,93%,Hou,WR
22,Melvin Gordon,93%,Den,RB
23,Mike Davis,93%,Atl,RB
24,Tee Higgins,93%,Cin,WR
0,Antonio Brown,92%,TB,WR
1,Chase Claypool,92%,Pit,WR
2,Myles Gaskin,92%,Mia,RB
3,Courtland Sutton,91%,Den,WR
4,JuJu Smith-Schuster,89%,Pit,WR
5,Leonard Fournette,89%,TB,RB
6,Javonte Williams,88%,Den,RB
7,Tyler Boyd,87%,Cin,WR
8,Brandon Aiyuk,86%,SF,WR
9,DeVonta Smith,86%,Phi,WR
10,Devin Singletary,85%,Buf,RB
11,Chuba Hubbard,85%,Car,RB
12,Ryan Tannehill,84%,Ten,QB
13,Dallas Goedert,84%,Phi,TE
14,Kenny Golladay,83%,NYG,WR
15,Marquise Brown,83%,Bal,WR
16,Robert Tonyan,83%,GB,TE
17,Trey Sermon,82%,SF,RB
18,Jamaal Williams,81%,Det,RB
19,Corey Davis,81%,NYJ,WR
20,Marvin Jones,80%,Jax,WR
21,Zack Moss,80%,Buf,RB
22,Kirk Cousins,79%,Min,QB
23,Robby Anderson,79%,Car,WR
24,Michael Thomas,78%,NO,WR
0,Nyheim Hines,78%,Ind,RB
1,Michael Pittman,78%,Ind,WR
2,Joe Burrow,77%,Cin,QB
3,James Conner,77%,Ari,RB
4,Tony Pollard,76%,Dal,RB
5,Cordarrelle Patterson,76%,Atl,"WR,RB"
6,Jerry Jeudy,75%,Den,WR
7,Kenyan Drake,75%,LV,RB
8,Eli Mitchell,72%,SF,RB
9,Alexander Mattison,71%,Min,RB
10,Jaylen Waddle,70%,Mia,WR
11,Cole Beasley,68%,Buf,WR
12,Jakobi Meyers,68%,NE,WR
13,Mike Gesicki,68%,Mia,TE
14,Derek Carr,67%,LV,QB
15,AJ Dillon,65%,GB,RB
16,Sony Michel,65%,LAR,RB
17,Jarvis Landry,65%,Cle,WR
18,Baker Mayfield,64%,Cle,QB
19,Ty'Son Williams,63%,Bal,RB
20,Sterling Shepard,61%,NYG,WR
21,Will Fuller,61%,Mia,WR
22,Christian Kirk,60%,Ari,WR
23,Laviska Shenault,58%,Jax,WR
24,Emmanuel Sanders,58%,Buf,WR
0,Henry Ruggs,56%,LV,WR
1,Rondale Moore,54%,Ari,WR
2,Ronald Jones,54%,TB,RB
3,DJ Chark,54%,Jax,WR
4,Trevor Lawrence,53%,Jax,QB
5,Matt Ryan,53%,Atl,QB
6,Michael Carter,51%,NYJ,RB
7,Mecole Hardman,50%,KC,WR
8,Jonnu Smith,48%,NE,TE
9,Michael Gallup,47%,Dal,WR
10,Jared Cook,47%,LAC,TE
11,Dawson Knox,47%,Buf,TE
12,Latavius Murray,47%,Bal,RB
13,Austin Hooper,45%,Cle,TE
14,Gerald Everett,45%,Sea,TE
15,Tim Patrick,44%,Den,WR
16,Hunter Henry,42%,NE,TE
17,Justin Fields,41%,Chi,QB
18,Curtis Samuel,40%,Was,WR
19,Jameis Winston,40%,NO,QB
20,J.D. McKissic,39%,Was,RB
21,Nelson Agholor,38%,NE,WR
22,DeVante Parker,38%,Mia,WR
23,Darnell Mooney,38%,Chi,WR
24,Peyton Barber,37%,LV,RB
0,Sam Darnold,37%,Car,QB
1,Mark Ingram,37%,NO,RB
2,Marquez Callaway,35%,NO,WR
3,Evan Engram,34%,NYG,TE
4,Dalton Schultz,33%,Dal,TE
5,David Johnson,33%,Hou,RB
6,Josh Gordon,32%,KC,WR
7,Daniel Jones,31%,NYG,QB
8,Trey Lance,31%,SF,QB
9,Kenneth Gainwell,29%,Phi,RB
10,Cole Kmet,28%,Chi,TE
11,Ben Roethlisberger,27%,Pit,QB
12,Hunter Renfrow,26%,LV,WR
13,Zach Ertz,26%,Ari,TE
14,Teddy Bridgewater,25%,Den,QB
15,Phillip Lindsay,25%,Mia,RB
16,Rashod Bateman,25%,Bal,WR
17,A.J. Green,24%,Ari,WR
18,Le'Veon Bell,23%,Bal,RB
19,Zach Pascal,23%,Ind,WR
20,Sammy Watkins,22%,Bal,WR
21,Jalen Reagor,21%,Phi,WR
22,T.Y. Hilton,21%,Ind,WR
23,Elijah Moore,21%,NYJ,WR
24,Raheem Mostert,21%,SF,RB
0,Jamison Crowder,20%,NYJ,WR
1,Jeff Wilson,20%,SF,RB
2,Bryan Edwards,18%,LV,WR
3,Gus Edwards,18%,Bal,RB
4,Cameron Brate,18%,TB,TE
5,K.J. Osborn,18%,Min,WR
6,Giovani Bernard,18%,TB,RB
7,James White,17%,NE,RB
8,Mac Jones,17%,NE,QB
9,Ryan Fitzpatrick,17%,Was,QB
10,Quintez Cephus,16%,Det,WR
11,Tua Tagovailoa,16%,Mia,QB
12,Irv Smith,14%,Min,TE
13,Tyrell Williams,14%,Det,WR
14,Terrace Marshall,14%,Car,WR
15,Tony Jones,13%,NO,RB
16,Tyler Conklin,13%,Min,TE
17,Jared Goff,13%,Det,QB
18,Marlon Mack,13%,Ind,RB
19,Juwan Johnson,13%,NO,"WR,TE"
20,Jimmy Garoppolo,12%,SF,QB
21,Carson Wentz,12%,Ind,QB
22,J.K. Dobbins,12%,Bal,RB
23,Rhamondre Stevenson,12%,NE,RB
24,Deshaun Watson,11%,Hou,QB
0,Carlos Hyde,11%,Jax,RB
1,Taylor Heinicke,10%,Was,QB
2,Nick Westbrook-Ikhine,10%,Ten,WR
3,Russell Gage,9%,Atl,WR
4,DeSean Jackson,9%,LV,WR
5,Deonte Harris,9%,NO,WR
6,Zach Wilson,9%,NYJ,QB
7,Darrel Williams,9%,KC,RB
8,Pat Freiermuth,9%,Pit,TE
9,Darius Slayton,9%,NYG,WR
10,Tarik Cohen,9%,Chi,RB
11,Blake Jarwin,9%,Dal,TE
12,Tevin Coleman,8%,NYJ,RB
13,Marquez Valdes-Scantling,8%,GB,WR
14,Damien Williams,8%,Chi,RB
15,Anthony Firkser,8%,Ten,TE
16,Travis Etienne,8%,Jax,RB
17,Rashaad Penny,7%,Sea,RB
18,Ty Johnson,7%,NYJ,RB
19,Adam Trautman,7%,NO,TE
20,Randall Cobb,6%,GB,WR
21,Malcolm Brown,6%,Mia,RB
22,Van Jefferson,5%,LAR,WR
23,Cam Akers,5%,LAR,RB
24,Gabriel Davis,5%,Buf,WR
