Player,Age,Pos,G,GS,rush_att,rush_yds,rush_td,Fmb,year,receiving_att,receiving_yds,receiving_td
OJ Simpson,28,RB,14,14,329,1817,16,7,1975,28,426,7
Lydell Mitchell,26,RB,14,14,289,1193,11,5,1975,60,544,4
Chuck Foreman,25,RB,14,12,280,1070,13,12,1975,73,691,9
Mike Thomas,22,RB,14,10,235,919,4,9,1975,40,483,3
Mercury Morris,28,RB,14,14,219,875,4,5,1975,2,15,0
Greg Pruitt,24,RB,14,14,217,1067,8,10,1975,44,299,1
Lawrence McCutcheon,25,RB,13,13,213,911,2,4,1975,31,230,1
Walter Payton,21,RB,13,7,196,679,7,9,1975,33,213,0
Altie Taylor,28,RB,14,14,195,638,4,3,1975,21,111,0
Ronnie Coleman,24,RB,14,12,175,790,5,6,1975,18,129,0
Tom Sullivan,25,RB,14,12,173,632,0,4,1975,28,276,0
Terry Metcalf,24,RB,13,13,165,816,9,8,1975,43,378,2
Mike Strachan,22,RB,11,11,161,668,2,4,1975,30,224,0
Rocky Bleier,29,RB,11,11,140,528,2,7,1975,15,65,0
Rickey Young,22,RB,14,8,138,577,5,5,1975,21,166,1
Preston Pearson,30,RB,14,10,133,509,2,1,1975,27,351,2
Floyd Little,33,RB,14,10,125,445,2,2,1975,29,308,2
Carl Garrett,28,RB,13,8,122,566,5,4,1975,19,180,1
Willard Harrell,23,RB,14,12,121,359,1,11,1975,34,261,2
Andy Johnson,23,RB,14,9,117,488,3,4,1975,26,294,1
Delvin Williams,24,RB,14,12,117,631,3,1,1975,34,370,1
Jim Bertelsen,25,RB,13,11,116,457,3,2,1975,14,208,0
Ron Johnson,28,RB,14,8,116,351,5,5,1975,34,280,1
Clarence Davis,26,RB,11,8,112,486,4,4,1975,11,126,1
Haskel Stanback,23,RB,14,10,105,440,5,2,1975,14,115,0
Ed Podolak,28,RB,14,4,102,351,3,3,1975,37,332,2
Larry Brown,28,rb,14,8,97,352,3,2,1975,25,225,2
Larry Brown,28,rb,14,8,97,352,3,2,1975,16,244,1
Mike Adamle,26,rb,14,7,94,353,1,4,1975,15,111,0
Stan Fritts,23,RB,13,5,94,375,8,1,1975,6,63,2
Don Woods,24,rb,5,5,87,317,2,1,1975,13,101,0
Billy Pritchett,24,rb,14,13,75,199,0,4,1975,16,109,0
Lenvil Elliott,24,rb,14,5,71,308,1,2,1975,20,196,3
Walter Payton,22,RB,14,14,311,1390,13,10,1976,15,149,0
Lawrence McCutcheon,26,RB,14,14,291,1168,9,10,1976,28,305,2
OJ Simpson,29,RB,14,13,290,1503,8,6,1976,22,259,1
Lydell Mitchell,27,RB,14,14,289,1200,5,4,1976,60,555,3
Chuck Foreman,26,RB,14,14,278,1155,13,7,1976,55,567,1
Mike Thomas,23,RB,13,12,254,1101,5,7,1976,28,290,4
Delvin Williams,25,RB,13,13,248,1203,7,6,1976,27,283,2
Otis Armstrong,26,RB,14,14,247,1008,5,4,1976,39,457,1
Rocky Bleier,30,RB,14,14,220,1036,5,4,1976,24,294,0
Greg Pruitt,25,RB,14,13,209,1000,4,7,1976,45,341,1
Dexter Bussey,24,RB,14,14,196,858,3,6,1976,28,218,0
Benny Malone,24,RB,14,12,186,797,4,3,1976,9,103,0
Doug Kotar,25,RB,14,14,185,731,3,3,1976,36,319,0
Louis Carter,23,RB,14,8,171,521,1,2,1976,20,135,0
Ronnie Coleman,25,RB,13,13,171,684,2,8,1976,40,247,3
Andy Johnson,24,RB,14,13,169,699,6,5,1976,29,343,4
Doug Dennison,25,RB,14,10,153,542,6,3,1976,8,67,0
Archie Griffin,22,RB,14,14,138,625,3,2,1976,16,138,0
Tony Galbreath,22,RB,14,13,136,570,7,7,1976,54,420,1
Terry Metcalf,25,RB,12,12,134,537,3,15,1976,33,388,4
Don Woods,25,RB,11,10,126,450,3,1,1976,34,224,1
Sherman Smith,22,RB,12,9,119,537,4,8,1976,36,384,1
Clarence Davis,27,RB,12,12,114,516,3,6,1976,27,191,0
Tommy Reamon,24,rb,11,4,103,314,4,7,1976,10,136,1
Tom Sullivan,26,RB,13,8,99,399,2,1,1976,14,116,1
Barty Smith,24,rb,8,5,97,355,5,4,1976,11,88,0
Steve Davis,28,RB,12,8,94,418,3,6,1976,8,57,0
Sonny Collins,23,rb,11,5,91,319,0,1,1976,4,37,0
Ed Podolak,29,rb,10,4,88,371,5,2,1976,13,156,0
Eric Torkelson,24,RB,14,11,88,289,2,3,1976,19,140,0
Larry Poole,24,rb,13,1,78,356,1,2,1976,14,70,0
Woody Green,25,RB,6,6,73,322,1,2,1976,9,100,0
